state,Utility,Policy
a1,51.178318455490775,E
a2,54.98695180825629,E
a3,60.018743453278546,E
a4,65.35805152165675,E
a5,70.82102331213656,E
a6,76.36989191907558,E
a7,82.01700553945906,E
a8,87.79605526090344,E
a9,93.76160697319133,E
a10,100.0,
b1,54.468895349564946,S
b2,54.17919003263403,E
b3,58.18061099106173,E
b4,63.105568915606455,E
b5,68.28073311263972,E
b6,73.50042001002143,E
b7,78.70546588796324,E
b8,83.85961830389274,E
b9,88.91098244367257,N
b10,93.76160697319133,N
c1,59.3460718921334,S
c2,56.016047138680406,S
c3,55.89267595656725,E
c4,59.56493758990585,E
c5,64.30311554206824,E
c6,69.24267722283729,E
c7,74.1761800113772,E
c8,79.04983957835516,N
c9,83.85961830389274,N
c10,87.79605526090344,N
d1,65.13063853337488,E
d3,57.352247630316086,W
d4,56.20033240795339,N
d5,59.8267637611508,N
d6,64.50650127094895,N
d7,69.3689728667067,N
d8,74.1761800113772,N
d9,78.70546588796324,N
d10,82.01700553945906,N
e1,61.613696401638265,N
e2,65.88161974246556,N
e3,58.40948341441366,W
e4,53.49478009758959,N
e5,55.56665910643683,N
e6,59.41640622362965,N
e7,62.263039017846765,N
e9,72.69740786312714,N
e10,76.18531773378918,N
f1,-100.0,
f2,40.94582703544861,E
f3,50.48228965620447,N
f4,49.50959819593065,N
f5,51.235936526147434,N
f6,54.50352912904219,N
f7,57.36179743045166,N
f8,59.84972759379382,E
f9,66.85787499897202,N
f10,70.35182672341804,N
g1,-20.5597305499559,S
g2,0.10883176842301356,N
g3,-100.0,
g4,41.65576149263298,E
g5,46.14052734583094,N
g6,49.60437323560892,N
g7,52.70486935527733,N
g8,56.25362908368618,E
g9,61.45735589055434,N
g10,64.61785529860242,N
h1,-21.937595602416007,N
h2,-10.50243776139526,N
h3,-18.56975203457983,E
h4,34.827038586848005,E
h5,39.32626519954894,N
h6,37.04534867834249,W
h7,-100.0,
h8,51.27367940140437,E
h9,56.088816730985364,N
h10,58.96787931880731,N
i1,-100.0,
i2,-46.95559339354118,N
i3,-100.0,
i4,28.97497696818565,E
i5,33.189833585699894,N
i6,32.895699625894906,N
i7,34.74952852743572,S
i8,46.21189423165987,E
i9,50.73785424614479,N
i10,53.38663227721611,N
j1,-33.967081587267074,S
j2,-17.91522150756724,E
j3,-4.457344574896979,S
j4,25.05239243747311,E
j5,28.67240170525517,E
j6,32.11487745833973,E
j7,36.6725526918973,E
j8,42.03719687764234,E
j9,45.58196251251287,N
j10,47.903154129566886,N
