state,Utility,Policy
a1,34.112658737840725,S
a2,-100.0,
a3,48.7007262563544,E
a4,53.33668755396554,S
a5,-100.0,
a6,84.58297973055463,E
a7,89.90373919086716,E
a8,93.28134765270792,E
a9,96.63924601475182,E
a10,100.0,
b1,41.59594628619746,E
b2,45.10552720860358,E
b3,53.25635831346553,E
b4,61.578085923182684,E
b5,70.28312261040962,E
b6,79.4230948166003,N
b7,86.76419842976078,E
b8,90.12112081037951,E
b9,93.38264214735155,N
b10,96.63923142947428,N
c1,40.03087730844208,S
c2,36.24659216301149,N
c3,-100.0,
c4,-100.0,
c5,57.18450242967353,N
c6,-100.0,
c7,81.80265535888354,E
c8,86.82711311970964,E
c9,90.10428752186463,N
c10,93.279897344325,N
d1,43.356796814189615,S
d2,-100.0,
d3,51.76422428537923,E
d4,61.21029669897142,S
d5,67.87062225877618,E
d6,71.44006836696178,E
d7,80.08952409379827,E
d8,83.45677539490678,N
d9,85.04372480433778,N
d10,89.81194452885744,N
e1,51.1686622264798,S
e2,49.821885981489324,E
e3,57.70626464031921,E
e4,66.21063842112773,E
e5,69.82140923067125,E
e6,73.24223141224779,E
e7,76.66091784595507,N
e8,74.70937120180358,N
e9,-100.0,
e10,80.80894463382968,N
f1,54.51541944784727,S
f2,52.463304854074664,S
f3,-100.0,
f4,61.783365150045356,E
f5,66.70848796763542,E
f6,69.98524284767602,N
f7,73.23668714834223,N
f8,71.25266431334653,N
f9,62.976061696153394,W
g1,57.837786046941524,S
g2,60.492137010238075,S
g3,57.43921795221908,S
g4,57.12675457740205,N
g5,63.4996709162328,E
g6,66.73196030445189,N
g7,69.82138545512903,N
g8,67.94343166541361,N
g9,64.43514132677706,W
g10,56.24467356407108,W
h1,61.01035701192919,S
h2,63.979715706873606,S
h3,62.224446933627476,S
h4,-100.0,
h5,62.07202762470433,S
h6,64.18859587644519,S
h7,66.44529102561334,N
h8,64.57116953705223,N
h9,59.58841586112064,N
h10,56.11963512221556,W
i1,64.1713490386533,S
i2,67.38847291814878,S
i3,70.59532523679695,S
i5,70.36146243327343,S
i6,67.37956971016227,S
i7,64.27386868765738,W
i8,59.66678340279186,W
i9,-100.0,
i10,48.23034262078296,N
j1,67.32434737979459,E
j2,70.64661326931218,E
j3,74.00704258779378,E
j4,77.37275157008754,N
j5,73.99983702836998,W
j6,70.6390347771101,W
j7,67.28520484863512,W
j8,63.84440805144605,W
j9,55.64193909316752,W
j10,52.290838989091355,W
